rank,encoder,projection,proxy_MRR,delta_vs_best,delta_vs_second_best
1,biolinkbert,nonlinear_ae,0.2621700153205418,0.0,0.0318797098236695
2,pubmedbert,nonlinear_ae,0.2302903054968723,-0.0318797098236695,0.0
3,pubmedbert,none,0.2264155043924731,-0.035754510928068695,-0.003874801104399195
4,specter2,pca,0.2152730496874154,-0.0468969656331264,-0.015017255809456898
5,specter2,none,0.213772549159658,-0.048397466160883806,-0.016517756337214307
6,specter2,nonlinear_ae,0.2135343341041293,-0.048635681216412485,-0.016755971392742985
7,specter2,linear,0.2085136615567321,-0.0536563537638097,-0.0217766439401402
8,biolinkbert,none,0.20834105776906,-0.05382895755148179,-0.021949247727812288
9,biolinkbert,linear,0.2038078024343042,-0.05836221288623758,-0.02648250306256808
10,biomedbert,none,0.202225943582564,-0.059944071737977805,-0.028064361914308306
11,biolinkbert,pca,0.1964515585121206,-0.0657184568084212,-0.0338387469847517
12,biomedbert,pca,0.1955202698204744,-0.06664974550006739,-0.03477003567639789
13,pubmedbert,pca,0.1947801063803104,-0.06738990894023139,-0.03551019911656189
14,biomedbert,linear,0.1895003550568364,-0.07266966026370539,-0.04078995044003589
15,pubmedbert,linear,0.1825025288589266,-0.0796674864616152,-0.0477877766379457
16,biomedbert,nonlinear_ae,0.1699664823270516,-0.09220353299349018,-0.060323823169820684
